Anticoherer	A device, one form of which consists of a scratched deposit of silver on glass, used in connection with the receiving apparatus for reading wireless signals. The electric waves falling on this contrivance increase its resistance several times. The anticoherer can be used in conjunction with a telephone.
Antidiphtheritic	Destructive to, or hindering the growth of, diphtheria bacilli.
Antidiphtheritic	An antidiphtheritic agent.
Anti-imperialism	Opposition to imperialism; -- applied specif., in the United States, after the Spanish-American war (1898), to the attitude or principles of those opposing territorial expansion; in England, of those, often called Little Englanders, opposing the extension of the empire and the closer relation of its parts, esp. in matters of commerce and imperial defense.
Antimonsoon	The upper, contrary-moving current of the atmosphere over a monsoon.
Antipasch	The Sunday after Easter; Low Sunday.
Anti-Semitism	Opposition to, or hatred of, Semites, esp. Jews.
Antisepsis	Prevention of sepsis by excluding or destroying microorganisms.
Antisialagogue	Checking the flow of saliva.
Antisialagogue	A remedy against excessive salivation.
Anti-trade	A westerly wind which blows nearly continuously between 30¡ and 50¡ of latitude in both the northern and the southern hemisphere.
Antivenin	The serum of blood rendered antitoxic to a venom by repeated injections of small doses of the venom.
Apartment house	A building comprising a number of suites designed for separate housekeeping tenements, but having conveniences, such as heat, light, elevator service, etc., furnished in common; -- often distinguished in the United States from a flat house.
Apercus	of Apercu
